Exp_name, solver, sols, solver_time_mean, total_time_mean, block,  block(2nd calc) , avg_block, solver_calls, solver_err, sr_err, how_many?, solver_v_best, total_v_best, block_total_v, file_size, nodes, satv, satc
hu_gen_tumor_10,glucose D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,glucose D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,minion D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,minion_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,minion D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,nbc D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_10,nbc_compressed D+I,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,0.0,nan,nan,nan,nan
hu_gen_tumor_20,glucose D+I,1998,1360.7983740000018,2536.8821465969086,2016340.0,1997001.0,134422.66666666666,15.0,38.8118041847296,177.5629547600143,3,1313.9783320000017,2198.9452617168427,2016340.0,-1.0,nan,nan,nan
hu_gen_tumor_20,glucose D,2003,1571.346999999999,3825.4939819176993,2007006.0,nan,1001.5,2004.0,25.42840789400398,332.56319792874945,3,1545.7871740000016,3170.863257408142,2007006.0,-1.0,nan,nan,nan
hu_gen_tumor_20,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,13861.0,nan,nan,nan,nan
hu_gen_tumor_20,minion D+I,1998,6.137949000000001,30.67031955718994,19339.0,7351.0,1289.2666666666667,15.0,0.10459400000000052,5.730683088302611,2,6.033355,24.93963646888733,19339.0,389363.0,20839.0,0.0,0.0
hu_gen_tumor_20,minion_compressed D+I,1998,25.341662,70.85405397415161,19339.0,7351.0,1289.2666666666667,15.0,nan,nan,1,25.341662,70.85405397415161,19339.0,551981.0,20806.0,0.0,0.0
hu_gen_tumor_20,minion D,1998,4621.019907,4817.63661980629,1997001.0,nan,999.0,1999.0,nan,nan,1,4621.019907,4817.63661980629,1997001.0,-1.0,nan,nan,nan
hu_gen_tumor_20,nbc D+I,1998,9.546666666666669,50.33902303377787,19339.0,7351.0,1289.2666666666667,15.0,0.27732852559935345,2.8439870259318796,6,8.29,38.738927364349365,19339.0,1109891.0,19053.0,2657.0,115200.0
hu_gen_tumor_20,nbc_compressed D+I,1998,11.03,66.10143184661865,19339.0,7351.0,1289.2666666666667,15.0,0.7681362726322282,2.365626314196317,3,9.68,61.37181210517883,19339.0,2534560.6666666665,19111.666666666668,3433.6666666666665,117535.33333333333
hu_gen_tumor_30,glucose D+I,1191,640.1161496666663,1523.7710517247517,721080.0,709836.0,48072.0,15.0,29.856895454584762,223.90778076272224,3,588.879728999999,1120.9457032680511,721080.0,-1.0,nan,nan,nan
hu_gen_tumor_30,glucose D,1211,839.3087446666663,1436.5682113965352,733866.0,nan,605.5,1212.0,32.00568233088383,487.0652506896545,3,779.6296489999993,928.46706366539,733866.0,-1.0,nan,nan,nan
hu_gen_tumor_30,glucose_ordered D,nan,nan,nan,nan,nan,nan,nan,nan,nan,0,nan,nan,14028.0,nan,nan,nan,nan
hu_gen_tumor_30,minion D+I,1191,4.068688000000001,28.562782406806946,11244.0,4098.0,749.6,15.0,0.21338100000000024,7.743704676628112,2,3.8553070000000003,20.819077730178833,11244.0,256692.5,11093.0,0.0,0.0
hu_gen_tumor_30,minion_compressed D+I,1191,10.029050999999999,51.2120406627655,11244.0,4098.0,749.6,15.0,nan,nan,1,10.029050999999999,51.2120406627655,11244.0,377801.0,11093.0,0.0,0.0
hu_gen_tumor_30,minion D,1191,1326.1645290000006,1420.580168247223,709836.0,nan,595.5,1192.0,nan,nan,1,1326.1645290000006,1420.580168247223,709836.0,-1.0,nan,nan,nan
hu_gen_tumor_30,nbc D+I,1191,5.941666666666667,42.97928770383199,11244.0,4098.0,749.6,15.0,0.20082192222076842,3.2891457118454013,6,5.420000000000001,29.119706392288208,11244.0,1035952.5,9145.333333333334,2563.0,110147.0
